date_parsed,nama_provinsi,tahun,bulan,produksi_padi
2022-07-01,KABUPATEN CIAMIS,2022,7,32960.0
2022-08-01,KABUPATEN CIAMIS,2022,8,34428.0
2022-09-01,KABUPATEN CIAMIS,2022,9,31802.0
2022-10-01,KABUPATEN CIAMIS,2022,10,20778.0
2022-11-01,KABUPATEN CIAMIS,2022,11,11634.0
2022-12-01,KABUPATEN CIAMIS,2022,12,10008.0
2023-01-01,KABUPATEN CIAMIS,2023,1,9077.0
2023-02-01,KABUPATEN CIAMIS,2023,2,27617.0
2023-03-01,KABUPATEN CIAMIS,2023,3,66494.0
2023-04-01,KABUPATEN CIAMIS,2023,4,28176.0
2023-05-01,KABUPATEN CIAMIS,2023,5,15082.0
2023-06-01,KABUPATEN CIAMIS,2023,6,17542.0
2023-07-01,KABUPATEN CIAMIS,2023,7,31007.0
2023-08-01,KABUPATEN CIAMIS,2023,8,35047.0
2023-09-01,KABUPATEN CIAMIS,2023,9,32974.0
2023-10-01,KABUPATEN CIAMIS,2023,10,22410.0
2023-11-01,KABUPATEN CIAMIS,2023,11,7765.0
2023-12-01,KABUPATEN CIAMIS,2023,12,5932.0
2018-01-01,KABUPATEN CIANJUR,2018,1,14991.11
2018-02-01,KABUPATEN CIANJUR,2018,2,91276.0
2018-03-01,KABUPATEN CIANJUR,2018,3,120075.0
2018-04-01,KABUPATEN CIANJUR,2018,4,56371.0
2018-05-01,KABUPATEN CIANJUR,2018,5,44744.0
2018-06-01,KABUPATEN CIANJUR,2018,6,79610.0
2018-07-01,KABUPATEN CIANJUR,2018,7,97842.0
2018-08-01,KABUPATEN CIANJUR,2018,8,63653.0
2018-09-01,KABUPATEN CIANJUR,2018,9,45342.0
2018-10-01,KABUPATEN CIANJUR,2018,10,34955.0
2018-11-01,KABUPATEN CIANJUR,2018,11,29328.0
2018-12-01,KABUPATEN CIANJUR,2018,12,18925.0
2019-01-01,KABUPATEN CIANJUR,2019,1,39507.0
2019-02-01,KABUPATEN CIANJUR,2019,2,48315.0
2019-03-01,KABUPATEN CIANJUR,2019,3,150872.0
2019-04-01,KABUPATEN CIANJUR,2019,4,67686.0
2019-05-01,KABUPATEN CIANJUR,2019,5,26580.0
2019-06-01,KABUPATEN CIANJUR,2019,6,52966.0
2019-07-01,KABUPATEN CIANJUR,2019,7,85209.0
2019-08-01,KABUPATEN CIANJUR,2019,8,71476.0
2019-09-01,KABUPATEN CIANJUR,2019,9,22854.0
2019-10-01,KABUPATEN CIANJUR,2019,10,27954.0
2019-11-01,KABUPATEN CIANJUR,2019,11,28379.0
2019-12-01,KABUPATEN CIANJUR,2019,12,20006.0
2020-01-01,KABUPATEN CIANJUR,2020,1,15148.0
2020-02-01,KABUPATEN CIANJUR,2020,2,25177.0
2020-03-01,KABUPATEN CIANJUR,2020,3,48421.0
2020-04-01,KABUPATEN CIANJUR,2020,4,157799.81000000014
2020-05-01,KABUPATEN CIANJUR,2020,5,55698.0
2020-06-01,KABUPATEN CIANJUR,2020,6,15418.0
2020-07-01,KABUPATEN CIANJUR,2020,7,62714.0
2020-08-01,KABUPATEN CIANJUR,2020,8,99740.0
2020-09-01,KABUPATEN CIANJUR,2020,9,61270.0
2020-10-01,KABUPATEN CIANJUR,2020,10,18898.0
2020-11-01,KABUPATEN CIANJUR,2020,11,25979.0
2020-12-01,KABUPATEN CIANJUR,2020,12,19768.0
2021-01-01,KABUPATEN CIANJUR,2021,1,31645.0
2021-02-01,KABUPATEN CIANJUR,2021,2,81179.0
2021-03-01,KABUPATEN CIANJUR,2021,3,108534.0
2021-04-01,KABUPATEN CIANJUR,2021,4,41260.0
2021-05-01,KABUPATEN CIANJUR,2021,5,41535.0
2021-06-01,KABUPATEN CIANJUR,2021,6,51564.0
2021-07-01,KABUPATEN CIANJUR,2021,7,78704.0
2021-08-01,KABUPATEN CIANJUR,2021,8,49301.0
2021-09-01,KABUPATEN CIANJUR,2021,9,28519.0
2021-10-01,KABUPATEN CIANJUR,2021,10,35567.0
2021-11-01,KABUPATEN CIANJUR,2021,11,28766.0
2021-12-01,KABUPATEN CIANJUR,2021,12,35200.0
2022-01-01,KABUPATEN CIANJUR,2022,1,26714.0
2022-02-01,KABUPATEN CIANJUR,2022,2,98635.0
2022-03-01,KABUPATEN CIANJUR,2022,3,111429.0
2022-04-01,KABUPATEN CIANJUR,2022,4,37480.0
2022-05-01,KABUPATEN CIANJUR,2022,5,35416.0
2022-06-01,KABUPATEN CIANJUR,2022,6,69607.0
2022-07-01,KABUPATEN CIANJUR,2022,7,72436.0
2022-08-01,KABUPATEN CIANJUR,2022,8,46883.0
2022-09-01,KABUPATEN CIANJUR,2022,9,30607.0
2022-10-01,KABUPATEN CIANJUR,2022,10,33078.0
2022-11-01,KABUPATEN CIANJUR,2022,11,36727.0
2022-12-01,KABUPATEN CIANJUR,2022,12,18933.0
2023-01-01,KABUPATEN CIANJUR,2023,1,95720.0
2023-02-01,KABUPATEN CIANJUR,2023,2,73260.0
2023-03-01,KABUPATEN CIANJUR,2023,3,77750.0
2023-04-01,KABUPATEN CIANJUR,2023,4,38402.0
2023-05-01,KABUPATEN CIANJUR,2023,5,75154.0
2023-06-01,KABUPATEN CIANJUR,2023,6,70604.0
2023-07-01,KABUPATEN CIANJUR,2023,7,54293.0
2023-08-01,KABUPATEN CIANJUR,2023,8,47450.0
2023-09-01,KABUPATEN CIANJUR,2023,9,39003.0
2023-10-01,KABUPATEN CIANJUR,2023,10,28365.0
2023-11-01,KABUPATEN CIANJUR,2023,11,32605.0
2023-12-01,KABUPATEN CIANJUR,2023,12,17516.0
2018-01-01,KABUPATEN CIREBON,2018,1,13095.0
2018-02-01,KABUPATEN CIREBON,2018,2,24628.0
2018-03-01,KABUPATEN CIREBON,2018,3,78763.0
2018-04-01,KABUPATEN CIREBON,2018,4,110839.79000000002
2018-05-01,KABUPATEN CIREBON,2018,5,57751.0
2018-06-01,KABUPATEN CIREBON,2018,6,16995.0
2018-07-01,KABUPATEN CIREBON,2018,7,49779.0
2018-08-01,KABUPATEN CIREBON,2018,8,56345.0
2018-09-01,KABUPATEN CIREBON,2018,9,57903.0
