nama_kabupaten_kota,tanggal,forecast
KOTA CIREBON,2023-06-01,95.06136392821499
KOTA CIREBON,2023-07-01,57.307806595155256
KOTA CIREBON,2023-08-01,208.80846484847888
KOTA CIREBON,2023-09-01,87.09574504591257
KOTA CIREBON,2023-10-01,25.42870227587678
KOTA CIREBON,2023-11-01,35.217086075704444
KOTA CIREBON,2023-12-01,47.612583352413395
KOTA DEPOK,2023-01-01,27.846727673863406
KOTA DEPOK,2023-02-01,49.49954581133262
KOTA DEPOK,2023-03-01,45.42064866274963
KOTA DEPOK,2023-04-01,27.869576787088732
KOTA DEPOK,2023-05-01,27.66569004519209
KOTA DEPOK,2023-06-01,29.713473561869343
KOTA DEPOK,2023-07-01,24.91208860393682
KOTA DEPOK,2023-08-01,7.852971605451597
KOTA DEPOK,2023-09-01,15.457262549274322
KOTA DEPOK,2023-10-01,26.723301848684024
KOTA DEPOK,2023-11-01,26.469266858895377
KOTA DEPOK,2023-12-01,30.22688969152489
KOTA SUKABUMI,2023-01-01,1034.7937176620608
KOTA SUKABUMI,2023-02-01,884.4564894987292
KOTA SUKABUMI,2023-03-01,1344.4528270293383
KOTA SUKABUMI,2023-04-01,1317.4766981633272
KOTA SUKABUMI,2023-05-01,1199.1147680561926
KOTA SUKABUMI,2023-06-01,1164.7667785764588
KOTA SUKABUMI,2023-07-01,1240.3045511913324
KOTA SUKABUMI,2023-08-01,1303.298354945113
KOTA SUKABUMI,2023-09-01,1021.4388563306354
KOTA SUKABUMI,2023-10-01,1443.2417683664194
KOTA SUKABUMI,2023-11-01,939.8409140687157
KOTA SUKABUMI,2023-12-01,658.7327416578502
KOTA TASIKMALAYA,2023-01-01,2677.552189621392
KOTA TASIKMALAYA,2023-02-01,3987.669559314404
KOTA TASIKMALAYA,2023-03-01,5553.718467353929
KOTA TASIKMALAYA,2023-04-01,6151.276755932531
KOTA TASIKMALAYA,2023-05-01,3836.0215768789158
KOTA TASIKMALAYA,2023-06-01,3280.482452678251
KOTA TASIKMALAYA,2023-07-01,5364.889807244065
KOTA TASIKMALAYA,2023-08-01,3966.349155674287
KOTA TASIKMALAYA,2023-09-01,4606.611327423959
KOTA TASIKMALAYA,2023-10-01,3461.825680252853
KOTA TASIKMALAYA,2023-11-01,2898.6474269597556
KOTA TASIKMALAYA,2023-12-01,2391.2043787624107
