id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bulan;produksi_padi;satuan;tahun
149;32;JAWA BARAT;3213;KABUPATEN SUBANG;MEI;106443;TON GABAH KERING GILING;2018
150;32;JAWA BARAT;3213;KABUPATEN SUBANG;JUNI;57024;TON GABAH KERING GILING;2018
151;32;JAWA BARAT;3213;KABUPATEN SUBANG;JULI;62941;TON GABAH KERING GILING;2018
152;32;JAWA BARAT;3213;KABUPATEN SUBANG;AGUSTUS;86332;TON GABAH KERING GILING;2018
153;32;JAWA BARAT;3213;KABUPATEN SUBANG;SEPTEMBER;81520;TON GABAH KERING GILING;2018
154;32;JAWA BARAT;3213;KABUPATEN SUBANG;OKTOBER;116840;TON GABAH KERING GILING;2018
155;32;JAWA BARAT;3213;KABUPATEN SUBANG;NOVEMBER;74273;TON GABAH KERING GILING;2018
156;32;JAWA BARAT;3213;KABUPATEN SUBANG;DESEMBER;49682;TON GABAH KERING GILING;2018
157;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;JANUARI;4697;TON GABAH KERING GILING;2018
158;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;FEBRUARI;9099;TON GABAH KERING GILING;2018
159;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;MARET;33338;TON GABAH KERING GILING;2018
160;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;APRIL;24843;TON GABAH KERING GILING;2018
161;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;MEI;7665;TON GABAH KERING GILING;2018
162;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;JUNI;15048;TON GABAH KERING GILING;2018
163;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;JULI;24757;TON GABAH KERING GILING;2018
164;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;AGUSTUS;31364;TON GABAH KERING GILING;2018
165;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;SEPTEMBER;9610;TON GABAH KERING GILING;2018
166;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;OKTOBER;4682;TON GABAH KERING GILING;2018
